customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,country,date_of_birth,gender,registration_date,last_login
ddb97aef-e72c-4b70-9e06-99654cb25b94,Maria,Hudson,hebertmelanie@example.com,2396293330,7036 Elizabeth Circles,Port Elizabeth,Missouri,93348,United States,1978-01-06,M,2021-06-03T09:51:20.415Z,2025-02-12T07:07:19.013Z
f2b2d7c3-3f2f-4a39-8b65-ef08688c1dac,Donald,Higgins,mary64@example.net,9592761005,5098 Henderson Grove Suite 600,South Crystalfurt,Rhode Island,44317,United States,1985-10-25,M,2021-05-27T10:27:33.978Z,2025-02-08T21:26:56.873Z
efaa375e-ba17-480b-b264-105b3abadaa4,Danielle,Little,anna85@example.net,+1-856-233-7890x662,13993 Cruz Land,East Donald,Kansas,62166,United States,1959-11-27,Other,2024-12-02T05:25:44.052Z,2025-02-09T06:10:05.918Z
2a797211-5a00-4a5a-ae87-202d5f95e347,Charles,Smith,woodseric@example.net,849.922.9577x442,0548 Hill Ridges Suite 870,Warrenfurt,New Mexico,18665,United States,2002-09-17,F,2022-12-10T18:07:02.730Z,2025-02-02T21:43:01.453Z
efeb7aa1-ebb7-40c6-8d0c-d51b6b414bd6,Brenda,White,kevinmcclure@example.org,001-280-720-7808x573,3569 Miller Centers,Grantville,Vermont,68313,United States,1976-08-17,M,2021-06-21T13:54:56.290Z,2025-02-14T00:39:36.674Z
8e6d9fbe-a716-4dc8-ae57-5ce03a473f4b,Ann,Swanson,williamsryan@example.com,001-553-930-8388x17671,44086 Guzman Extensions Suite 201,Robertsonburgh,Alabama,36428,United States,1949-11-13,F,2020-08-25T13:48:42.192Z,2025-02-13T11:08:29.473Z
9d5eff9c-826c-4e7c-82d3-0488f8062bba,Maria,Andrews,lauracombs@example.org,964.722.1890,92883 Vicki Ramp Suite 624,Mitchellberg,Georgia,59464,United States,1943-12-21,Other,2021-09-18T14:20:00.242Z,2025-02-11T23:57:38.643Z
9d67406a-0550-4e64-a593-58a31b26575e,Alexander,White,tammy95@example.net,(603)385-3646x249,9030 Wallace Wall,Andersonberg,New Mexico,02010,United States,1954-04-16,M,2022-01-19T15:42:17.095Z,2025-02-08T16:33:35.427Z
7fd6abbf-d364-4582-ba27-6ba4e3f449c9,Juan,Villanueva,qwheeler@example.org,(234)529-6217x210,22314 Michael Manor,Stephanieton,Nevada,45969,United States,1956-11-21,Other,2023-11-10T06:14:34.520Z,2025-02-10T03:33:18.482Z
02080226-774e-421f-831e-669806329d28,Tracy,Miller,williambarry@example.net,+1-812-499-8333,756 Laura Shore Apt. 391,Brianborough,North Dakota,28407,United States,1978-08-04,M,2022-01-09T21:12:26.601Z,2025-02-13T07:08:33.718Z
